id	audio	n_frames	tgt_text	src_text
			Seine Aussage hier unten bedeutet soviel wie: "Greife an, wo er unvorbereitet ist, erscheine, wo du nicht erwartest wird." Es sieht nicht so gut für China und die USA aus.	he wrote "the art of war," and if you see his statement underneath, it's along these lines: "attack him where he is unprepared, appear where you are not expected." not looking good so far for china and the united states.
			Stattdessen begann ich damit, über andere Leute als mich zu schreiben und über Dinge, die niemals wirklich passiert sind.	instead, i began to write about people other than me and things that never really happened.
			Und was ganz wichtig ist, du findest dann die wahre Liebe, wenn du sie am wenigsten erwartest. "	and most importantly, true love will find you when you least expect it. "
			Das ist eine großartige Darstellung davon.	so it's a great illustration of that.
			Ich verbrachte die meiste Zeit auf einem kleinen Außenposten namens Restrepo.	i spent most of my time at a small outpost called restrepo.
			Nun war Suharto ein Diktator, ein böser noch dazu.	now, suharto had been a dictator, and a nasty one.
			Ich weiß, warum ich hier bin.	now i know why i'm here.
			Wenigstens patentierten sie etwas, mit dem man nützliche Dinge tun konnte.	at least they patented something which, you know, could do useful things.
			Und wie alle guten Seifenopern macht sie einen Sprung von 20 Jahren, wenn sich das Interesse der Zuschauer ändert.	and like all good soaps, it jumps 20 years when the audience interest changes.
			Halten Sie, was Sie versprechen.	talk should not be cheap.
			Man muss auch Zurückhaltung zeigen können, gerade wenn es das letzte ist, was Sie tun möchten.	it takes showing restraint, too, just when that's the last thing you want to do.
			Wir beginnen, in dem wir die Führungsstimme in zwei Sequenz-Siftable einspeisen und diese in einer Reihe anordnen, sie erweitern und ein bisschen mehr der Stimme hinzufügen.	dm: we'll start by putting a lead into two sequence siftables, arrange them into a series, extend it, add a little more lead.
			Sehen wir uns mal an, warum der Roman und die Eifersucht, die Eifersucht und Proust so gut zusammenpassen.	let's look at why they go so well together, the novel and jealousy, jealousy and proust.
			Normale Frösche kümmern sich nach dem Laichen überhaupt nicht mehr um die Eier, Aber der hier hat die befruchteten Eier verschluckt und sie bei genügend Futter in seinem Magen nicht verdaut, sondern den Magen in eine Gebärmutter verwandelt.	unlike a normal frog, which lays its eggs in the water and goes away and wishes its froglets well, this frog swallowed its fertilized eggs, swallowed them into the stomach, where it should be having food, didn't digest the eggs, and turned its stomach into a uterus.
			Es war eigentlich lächerlich, aber mir fiel nichts Besseres ein, und so stand ich da.	it was a ridiculous thing to do, really, but i couldn't think of anything else, and so there i stood.
			Ich wollte eine sensorbasierte Technologie entwickeln, was von meiner Liebe für Sensoren und Technik herrührt.	my desire to create a sensor-based technology perhaps stemmed from my lifelong love for sensors and technology.
			Mit den Millionen Besuchern, die jedes Jahr nach Venedig kommen, ist es tatsächlich einer der besten Orte, um den Versuch eines Museums der Zukunft zu wagen.	with the millions of visitors that come every year, it's actually one of the best places to try to invent the museum of the future.
			Die meisten Gastländer öffnen ihre Wirtschaft den Flüchtlingen nicht auf diese Weise.	most host countries don't open up their economies to refugees in the same way.
			Du und deine Mama gehören in den Knast. '"Ich habe mich immer getraut, Aboody alles zu erzählen.	you and your mom should be put in jail. '"i've never been afraid to tell aboody anything.
			Doch bedauerlicherweise wird zu oft nicht offen und ehrlich darüber gesprochen.	yet, unfortunately, too often, it's not talked about openly and honestly.
			Das ist eine Schuhfabrik.	it's a shoe factory.
			Und als Crystal in der Serie Brustkrebs bekam, haben zusätzliche 75.000 junger Frauen eine Mammografie machen lassen.	and when, onscreen, crystal got breast cancer, 75,000 more young women went to have mammographies done.
			Ich lernte, dass es wegen der ununterbrochenen Bewegung möglich ist.	on researching this, i realized that it's because it's a continuous motion.
			Schauen wir uns Hong Kong an, dort gibt es ein sehr interessantes System namens Octopus.	now if you look at hong kong, they have a very interesting system called octopus there.
			Man muss nicht lernen, wie man aufmerksam wirkt, wenn man tatsächlich aufmerksam ist.	there is no reason to learn how to show you're paying attention if you are in fact paying attention.
			Anfang der 70er Jahre haben wir Studien durchgeführt und festgestellt, dass Gangesgaviale sehr selten sind.	but we, actually, back in the early '70s, did surveys, and found that gharial were extremely rare.
			Sie hat die Samen in ihren Bauch gepackt und ihr Bauch wurde sehr groß und dann kam ich. "	she put the seeds in her belly — somehow — and her belly grew really big, and there i was. "
			Lasst uns sehen, welche Ergebnisse erscheinen.	see what comes up.
			Erzählen Sie mal davon.	tell me about that.
			Im Dorf nähert sich ihm ein Hund auf diese Weise - einer dieser schrecklichen Hunde, die man in einigen armen Ländern sieht, sogar in einigen Gegenden Amerikas, glaube ich - und er schaut einfach schrecklich aus.	and there, in the town, he's approached by a dog who comes like this — one of these terrible dogs you can see in some poor countries, even in america, i think, in some areas — and he's looking just terrible.
			Ich brauchte mehrere Jahre, aber mit Hilfe von einer unglaublich liebevollen Familie entschied ich schließlich, dass das Leben noch immer lebenswert war.	it took me several years, but with the help of an incredibly supportive family, i finally decided life was still worth living.
			Sie synchronisieren ihre Geräusche und Haltungen, um größer auszusehen und imposanter zu klingen. (Delfingeräusche) Hier haben wir Tümmler und wir sehen, wie sie ihr Verhalten und ihre Geräusche synchronisieren. (Delfingeräusche) Schauen Sie, wie sie mit ihrem Partner und der anderen Zweiergruppe synchronisieren.	they synchronize their sounds and their body postures to look bigger and sound stronger. (dolphins noises) now, these are bottlenose dolphins, and you'll see them starting to synchronize their behavior and their sounds. (dolphin noises) you see, they're synchronizing with their partner as well as the other dyad.
			Die Geschichte wurde und wird übrigens übersetzt und in mehreren europäischen Ländern veröffentlicht.	the story, by the way, has been translated and published across several european countries, and certainly will continue to do.
			Und dies ist, hoffe ich, ein kleiner Teil davon.	and this is, i hope, a little piece of it.
			Was ist der aktuelle Stand der Technik?	what is the current state of the art?
			Und das gilt nicht nur für die jungen, richtig?	and it's not just for the young, right?
			Wahrheit ist ein Wert.	truth is a value.
			Und da mein Eheman in Istanbul lebt, fing ich an, zwischen Arizona und Istanbul zu pendeln. Zwei Plätze auf der Erdoberfläche, die nicht unterschiedlicher sein könnten.	and since my husband is in istanbul, i started commuting between arizona and istanbul — the two places on the surface of earth that couldn't be more different.
			Das ist sehr wichtig.	this is very significant.
			In diesem Fall handelt es sich um einen Außenprojektion in Singapore auf diese riesige Time-Square-artige Leinwand.	so in this case, it's an outside projection for singapore on these giant times square-like screens.
			Aufgrund der Analysen der Korallen, denken wir, dass in der Eiszeit viel Kohlenstoff tief unten im Südpolarmeer vorhanden war und dass eine Schicht von geringer Dichte oben auf lag.	we think back in the glacial, from the analysis we've made in the corals, that the deep part of the southern ocean was very rich in carbon, and there was a low-density layer sitting on top.
			Weil ich ihn so fest halte fühle ich mich sonderbarerweise noch getrennter.	by holding it tightly, i feel strangely more detached.
			Sie machen Zucker zu Alkohol.	they can make sugar into alcohol.
			Jeden Morgen, ist die erste Sache, die ich mache – noch vor meinem ersten Kaffee – bevor ich mir die Zähne putze, öffne ich mein Notizbuch.	every day in the morning, the first thing i do, before my first cup of coffee, before i brush my teeth, i open my notebook.
			Zu jedem Land gibt es eine Art Durchschnittswert dieser Faktoren.	where a country is is a sort of average score on these things.
			Schlussendlich fand ich diese Inspirationsquelle, aber ich fand sie dort, wo ich sie am wenigsten erwartet hatte.	and i did, in the end, find that inspiration, but i found it in the most unlikely and unexpected place.
			Genauer gesagt können sie zwei Dinge tun, die frühere Generationen nicht getan haben.	specifically, they can do two things that previous generations have not done.
			♪ Zuhause ist ein Foto, das ich nie weggeworfen habe ♪	home is a photo i never threw away
			Wir müssen damit aufhören, so zu tun, als ob wir allwissend wären.	we need to stop that, to stop pretending to be omniscient beings.
			Ich sagte nur so aus Spaß, wirklich nur aus Spaß: "Ich habe das einmal ausgerechnet.	and i said as a joke — as a joke, i said, "i did the math.
			Abschließend möchte ich sagen, dass wir meiner Meinung nach mehr Biosymbiosen eingehen sollten, wie ich sie gezeigt habe, die durch ihre Umsetzung die Geschwindigkeit erhöhen, mit der grundlegende Entdeckungen gemacht werden.	so to conclude, i think we need to build biomutualisms, like i showed, that will increase the pace of basic discovery in their application.
			Jeder Dritte in diesem Publikum wird eine Krebsdiagnose bekommen, und jeder Vierte wird daran sterben.	one out of three people sitting in this audience will be diagnosed with some type of cancer, and one out of four will die because of it.
			Es war so, wissen Sie, sie stand da vor der Klasse und irgendwie war sie wirklich ganz typisch französisch.	it was like, you know, she was there in the class, you know, she was kind of typically french.
			Der Gedanke, dass man vielleicht verstehen kann, warum ein Gehirn funktioniert.	the notion that you can understand why a brain works, perhaps.
			Und im nächsten Jahr kommen sie natürlich in Horden zurück.	and then, of course, the next year it comes roaring back.
