id	audio	n_frames	tgt_text	src_text
train_ted_818_56	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_818_56.wav	0	(laughter)	(laughter)
train_ted_1253_144	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1253_144.wav	1	thank you.	thank you.
train_ted_2641_129	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2641_129.wav	2	thank you.	thank you.
train_ted_1738_142	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1738_142.wav	3	hence, death valley.	hence, death valley.
train_ted_56_118	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_56_118.wav	4	it's a shoe factory.	it's a shoe factory.
train_ted_1219_51	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1219_51.wav	5	thank you very much.	thank you very much.
train_ted_972_110	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_972_110.wav	6	see what comes up.	see what comes up.
train_ted_2443_90	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2443_90.wav	7	travis kalanick: thank you.	travis kalanick: thank you.
train_ted_773_214	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_773_214.wav	8	tell me about that.	tell me about that.
train_ted_155_68	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_155_68.wav	9	it makes perfect sense.	it makes perfect sense.
train_ted_1401_49	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1401_49.wav	10	i'll show you how.	i'll show you how.
train_ted_2380_2	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2380_2.wav	11	all the right stuff.	all the right stuff.
train_ted_1630_136	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1630_136.wav	12	truth is a value.	truth is a value.
train_ted_1456_123	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1456_123.wav	13	but he seemed nervous.	but he seemed nervous.
train_ted_920_141	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_920_141.wav	14	this is very significant.	this is very significant.
train_ted_246_120	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_246_120.wav	15	he makes his own cds.	he makes his own cds.
train_ted_2435_75	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2435_75.wav	16	talk should not be cheap.	talk should not be cheap.
train_ted_1784_41	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1784_41.wav	17	and then there's dan etete.	and then there's dan etete.
train_ted_1109_13	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1109_13.wav	18	it's the perfect driving mechanism.	it's the perfect driving mechanism.
train_ted_1623_28	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1623_28.wav	19	no one was paying attention.	no one was paying attention.
train_ted_2769_69	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2769_69.wav	20	and what did we find?	and what did we find?
train_ted_777_61	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_777_61.wav	21	in the night, i die.	in the night, i die.
train_ted_1777_113	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1777_113.wav	22	and the answer is no.	and the answer is no.
train_ted_1886_25	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1886_25.wav	23	they also have great capacity.	they also have great capacity.
train_ted_75_115	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_75_115.wav	24	he goes and sees the governor.	he goes and sees the governor.
train_ted_45_33	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_45_33.wav	25	now i know why i'm here.	now i know why i'm here.
train_ted_2134_61	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2134_61.wav	26	further to the right is more.	further to the right is more.
train_ted_2833_51	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2833_51.wav	27	they can make sugar into alcohol.	they can make sugar into alcohol.
train_ted_1966_107	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1966_107.wav	28	does it seem green and friendly?	does it seem green and friendly?
train_ted_1060_158	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1060_158.wav	29	here's the before, and here's the after.	here's the before, and here's the after.
train_ted_2425_3	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2425_3.wav	30	lassa virus is a lot like ebola.	lassa virus is a lot like ebola.
train_ted_562_72	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_562_72.wav	31	you bodies are wonderful as they are.	you bodies are wonderful as they are.
train_ted_1513_21	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1513_21.wav	32	it's active in the gulf of guinea.	it's active in the gulf of guinea.
train_ted_1224_94	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1224_94.wav	33	i can keep sarah palin's daughter dancing.	i can keep sarah palin's daughter dancing.
train_ted_2341_16	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_2341_16.wav	34	and eventually, i would let it go.	and eventually, i would let it go.
train_ted_1184_106	/mnt/zhangyuhao/MSP-ST/mustc/train/wav-split/train_ted_1184_106.wav	35	so it's a great illustration of that.	so it's a great illustration of that.
