id	audio	n_frames	tgt_text	src_text
test_ted_1096_0	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_0.wav	405	back in new york, i am the head of development for a non-profit called robin hood.	back in new york, i am the head of development for a non-profit called robin hood.
test_ted_1096_1	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_1.wav	512	when i'm not fighting poverty, i'm fighting fires as the assistant captain of a volunteer fire company.	when i'm not fighting poverty, i'm fighting fires as the assistant captain of a volunteer fire company.
test_ted_1096_2	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_2.wav	808	now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.	now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.
test_ted_1096_3	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_3.wav	153	i remember my first fire.	i remember my first fire.
test_ted_1096_4	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_4.wav	413	i was the second volunteer on the scene, so there was a pretty good chance i was going to get in.	i was the second volunteer on the scene, so there was a pretty good chance i was going to get in.
test_ted_1096_5	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_5.wav	555	but still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.	but still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.
test_ted_1096_6	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_6.wav	858	when i found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.	when i found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.
test_ted_1096_7	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_7.wav	957	here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.	here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.
test_ted_1096_8	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_8.wav	1832	the other volunteer who had arrived just before me — let's call him lex luther — (laughter) got to the captain first and was asked to go inside and save the homeowner's dog. the dog! i was stunned with jealousy.	the other volunteer who had arrived just before me — let's call him lex luther — (laughter) got to the captain first and was asked to go inside and save the homeowner's dog. the dog! i was stunned with jealousy.
test_ted_1096_9	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_9.wav	1035	here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.	here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.
