id	audio	n_frames	tgt_text	src_text
test_ted_1096_0	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_0.wav	405	Zu Hause in New York, bin ich Chef der Entwicklungsabteilung einer gemeinnützigen Organisation namens Robin Hood.	back in new york, i am the head of development for a non-profit called robin hood.
test_ted_1096_1	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_1.wav	512	Wenn ich nicht die Armut bekämpfe, bekämpfe ich als Gehilfe eines Feuerwehr-Hauptmanns bei einem freiwilligen Löschzug das Feuer.	when i'm not fighting poverty, i'm fighting fires as the assistant captain of a volunteer fire company.
test_ted_1096_2	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_2.wav	808	Nun, in unserer Stadt, in der Freiwillige eine hochqualifizierte Berufsfeuerwehr unterstützten, muss man ziemlich früh an der Brandstelle sein, um mitmischen zu können.	now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.
test_ted_1096_3	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_3.wav	153	Ich erinnere mich an mein erstes Feuer.	i remember my first fire.
test_ted_1096_4	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_4.wav	413	Ich war der zweite Freiwillige an der Brandstelle, ich hatte also recht gute Chancen hinein zu können.	i was the second volunteer on the scene, so there was a pretty good chance i was going to get in.
test_ted_1096_5	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_5.wav	555	Aber es war immer noch ein Wettrennen gegen die anderen Freiwilligen um den verantwortlichen Hauptmann zu erreichen und herauszufinden was unsere Aufgaben sein würden.	but still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.
test_ted_1096_6	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_6.wav	858	Als ich den Hauptmann fand, hatte er gerade in eine sehr ernste Unterhaltung mit der Hausbesitzerin, die sicherlich einen der schlimmsten Tage ihres Lebens hatte.	when i found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.
test_ted_1096_7	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_7.wav	957	Es war mitten in der Nacht und sie stand im Schlafanzug und barfuß unter einem Schirm draußen im strömenden Regen, während ihr Haus in Flammen stand.	here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.
test_ted_1096_8	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_8.wav	1832	Der andere Freiwillige, der knapp vor mir angekommen war — nennen wir ihn Lex Luther — (Gelächter) erreichte den Hauptmann als erstes und wurde gebeten in das Haus zu gehen und den Hund der Hausbesitzerin zu retten. Den Hund! Ich war sprachlos vor Neid.	the other volunteer who had arrived just before me — let's call him lex luther — (laughter) got to the captain first and was asked to go inside and save the homeowner's dog. the dog! i was stunned with jealousy.
test_ted_1096_9	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_9.wav	1035	Da war irgendein Anwalt oder Vermögensverwalter, der nun für den Rest seines Lebens, den Menschen erzählen konnte, dass er in ein brennendes Haus ging um ein Lebewesen zu retten, nur weil er fünf Sekunden schneller war als ich.	here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.
test_ted_1096_10	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_10.wav	202	Nun, ich war der Nächste.	well, i was next.
test_ted_1096_11	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_11.wav	138	Der Hauptmann winkte mich zu sich.	the captain waved me over.
test_ted_1096_12	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_12.wav	255	Er sagte, "Bezos, Sie müssen in das Haus gehen.	he said, "bezos, i need you to go into the house.
test_ted_1096_13	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_13.wav	932	Sie müssen nach oben gehen, an dem Feuer vorbei, und müssen dieser Frau ein Paar Schuhe holen. "(Gelächter) Ich schwöre es.	i need you to go upstairs, past the fire, and i need you to get this woman a pair of shoes. "(laughter) i swear.
test_ted_1096_14	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_14.wav	1398	Nun, nicht genau das, was ich mir erhofft hatte, doch ich ging los — die Treppen hoch, den Flur entlang, an den "echten" Feuerwehrmännern vorbei, die zu diesem Zeitpunkt mit dem Löschen schon so ziemlich fertig waren, in das Schlafzimmer um ein Paar Schuhe zu holen.	so, not exactly what i was hoping for, but off i went — up the stairs, down the hall, past the 'real' firefighters, who were pretty much done putting out the fire at this point, into the master bedroom to get a pair of shoes.
test_ted_1096_15	/mnt/zhangyh/DATA/mustc/tst-COMMON/wav-split/test_ted_1096_15.wav	1639	Ich weiß was Sie jetzt denken, aber ich bin kein Held. (Gelächter) Ich trug meine Beute zurück nach unten, wo ich an der Haustür meinen Erzfeind und den geliebten Hund traf.	now i know what you're thinking, but i'm no hero. (laughter) i carried my payload back downstairs where i met my nemesis and the precious dog by the front door.
