id	audio	n_frames	tgt_text	src_text
test_ted_1096_0	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_0.wav	405	En Nueva York soy responsable de desarrollo de una organización sin fines de lucro llamada Robin Hood.	back in new york, i am the head of development for a non-profit called robin hood.
test_ted_1096_1	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_1.wav	512	Cuando no estoy combatiendo la pobreza, combato incendios como asistente de capitán en un cuerpo de bomberos voluntarios.	when i'm not fighting poverty, i'm fighting fires as the assistant captain of a volunteer fire company.
test_ted_1096_2	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_2.wav	808	Y, en nuestra ciudad, donde los voluntarios complementan a un personal altamente calificado uno tiene que llegar al sitio del incendio muy pronto para entrar en acción.	now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.
test_ted_1096_3	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_3.wav	595	Recuerdo mi primer incendio. Yo era el segundo voluntario en el sitio, así que tenía una probabilidad bastante alta de ir.	i remember my first fire. i was the second volunteer on the scene, so there was a pretty good chance i was going to get in.
test_ted_1096_4	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_4.wav	555	Pero aún así hubo una carrera a pie contra los otros voluntarios para llegar al capitán a cargo y averiguar cuál era nuestra tarea.	but still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.
test_ted_1096_5	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_5.wav	858	Cuando encontré al capitán, estaba enfrascado en una conversación con la propietaria que sin duda atravesaba uno de los peores días de su vida.	when i found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.
test_ted_1096_6	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_6.wav	957	Estábamos en plena noche, ella estaba de pie afuera en la lluvia, bajo un paraguas, en pijama, descalza, mientras su casa estaba en llamas.	here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.
test_ted_1096_7	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_7.wav	1832	El otro voluntario que acababa de llegar antes que yo, -llamémosle Lex Luther- (Risas) llegó primero hasta el capitán y éste le pidió que entrara y salvara al perro de la dueña de casa. ¡El perro! ¡Yo estaba 'tan celoso'!	the other volunteer who had arrived just before me — let's call him lex luther — (laughter) got to the captain first and was asked to go inside and save the homeowner's dog. the dog! i was stunned with jealousy.
test_ted_1096_8	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_8.wav	1035	Ahí estaba un abogado o gestor de dinero que, durante el resto de su vida, tendría que decirle a la gente que entró en un edificio en llamas para salvar a un ser vivo sólo porque me ganó por 5 segundos.	here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.
test_ted_1096_9	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_9.wav	202	Bueno, yo era el siguiente.	well, i was next.
test_ted_1096_10	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_10.wav	138	El capitán me hizo un ademán.	the captain waved me over.
test_ted_1096_11	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_11.wav	255	Dijo: "Bezos, necesito que entre a la casa.	he said, "bezos, i need you to go into the house.
test_ted_1096_12	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_12.wav	932	Necesito que suba, atraviese el fuego, y le traiga a esta mujer un par de zapatos ". (Risas) Lo juro.	i need you to go upstairs, past the fire, and i need you to get this woman a pair of shoes. "(laughter) i swear.
test_ted_1096_13	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_13.wav	1398	No era exactamente lo que esperaba pero fui... subí las escaleras, al final del pasillo, pasé a los bomberos' reales' que a esa altura más o menos habían terminado de apagar el fuego y entré al cuarto principal en busca de un par de zapatos.	so, not exactly what i was hoping for, but off i went — up the stairs, down the hall, past the 'real' firefighters, who were pretty much done putting out the fire at this point, into the master bedroom to get a pair of shoes.
test_ted_1096_14	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_14.wav	1639	Sé lo que están pensando, pero no soy un héroe. (Risas) Llevé mi carga de vuelta por la escalera donde conocí a mi Némesis y al precioso perro en la puerta principal.	now i know what you're thinking, but i'm no hero. (laughter) i carried my payload back downstairs where i met my nemesis and the precious dog by the front door.
test_ted_1096_15	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_15.wav	739	Sacamos de la casa los tesoros para la dueña de casa donde, como era de esperar, su tesoro recibió mucha más atención que el mío.	we took our treasures outside to the homeowner, where, not surprisingly, his received much more attention than did mine.
test_ted_1096_16	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_16.wav	601	Unas semanas más tarde el departamento recibió una carta de la dueña de casa agradeciéndonos por el valiente esfuerzo demostrado para salvar su casa.	a few weeks later, the department received a letter from the homeowner thanking us for the valiant effort displayed in saving her home.
test_ted_1096_17	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_17.wav	590	La amabilidad que ella observó por sobre lo demás fue que alguien le había alcanzado incluso un par de zapatos.	the act of kindness she noted above all others: someone had even gotten her a pair of shoes.
test_ted_1096_19	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_19.wav	1328	Tanto en mi vocación en Robin Hood como en mi vocación como bombero voluntario soy testigo de actos de generosidad y amabilidad en una escala monumental, pero también de actos de gracia y coraje a nivel individual. ¿Y saben qué he aprendido?	in both my vocation at robin hood and my avocation as a volunteer firefighter, i am witness to acts of generosity and kindness on a monumental scale, but i'm also witness to acts of grace and courage on an individual basis.
test_ted_1096_20	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_20.wav	1418	Todo tiene su importancia. Entonces, cuando miro en esta sala a personas que han logrado, o están por lograr, niveles notables de éxito me gustaría recordarles esto: no esperen.	and you know what i've learned? they all matter. so as i look around this room at people who either have achieved, or are on their way to achieving, remarkable levels of success, i would offer this reminder: don't wait.
test_ted_1096_21	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_21.wav	302	No esperen a ganar el primer millón para marcar la diferencia en la vida de alguien.	don't wait until you make your first million to make a difference in somebody's life.
test_ted_1096_22	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_22.wav	278	Si tienen algo para dar, denlo ahora.	if you have something to give, give it now.
test_ted_1096_23	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_23.wav	428	Sirvan comida en un comedor, limpien un parque del vecindario, sean mentores.	serve food at a soup kitchen. clean up a neighborhood park. be a mentor.
test_ted_1096_24	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_24.wav	702	No todos los días vamos a tener la oportunidad de salvar la vida de alguien pero cada día vamos a poder influir la vida de alguien.	not every day is going to offer us a chance to save somebody's life, but every day offers us an opportunity to affect one.
test_ted_1096_25	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_25.wav	239	Así que entren al juego; salven los zapatos.	so get in the game. save the shoes.
test_ted_1096_26	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_26.wav	870	Gracias.	thank you.
test_ted_1096_28	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1096_28.wav	535	Bruno Giussani: Mark, Mark, regresa.	bruno giussani: mark, mark, come back.
test_ted_1102_0	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_0.wav	410	Acabo de regresar de una comunidad que tiene el secreto de la supervivencia humana.	i just came back from a community that holds the secret to human survival.
test_ted_1102_1	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_1.wav	941	Es un lugar donde las mujeres tienen la batuta, practican sexo para decir hola, y el juego es la orden del día... donde la diversión es algo serio.	it's a place where women run the show, have sex to say hello, and play rules the day — where fun is serious business.
test_ted_1102_2	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_2.wav	841	Y no, no es el festival del Hombre Ardiente o San Francisco. (Risas) Damas y caballeros, conozcan a sus primos.	and no, this isn't burning man or san francisco. (laughter) ladies and gentlemen, meet your cousins.
test_ted_1102_3	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_3.wav	367	Este es el mundo de los bonobos salvajes de las selvas de Congo.	this is the world of wild bonobos in the jungles of congo.
test_ted_1102_4	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_4.wav	581	Los bonobos son, junto con los chimpancés, sus parientes vivos más cercanos.	bonobos are, together with chimpanzees, your living closest relative.
test_ted_1102_5	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_5.wav	696	Eso significa que todos compartimos un ancestro común, una abuela evolutiva, que vivió hace unos 6 millones de años.	that means we all share a common ancestor, an evolutionary grandmother, who lived around six million years ago.
test_ted_1102_6	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_6.wav	397	Ahora bien, los chimpancés son conocidos por su agresión.	now, chimpanzees are well-known for their aggression.
test_ted_1102_8	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_8.wav	674	Pero, por desgracia, hemos hecho demasiado hincapié en este aspecto en nuestras narrativas de la evolución humana.	but unfortunately, we have made too much of an emphasis of this aspect in our narratives of human evolution.
test_ted_1102_9	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_9.wav	318	Pero los bonobos nos muestran el otro lado de la moneda.	but bonobos show us the other side of the coin.
test_ted_1102_10	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_10.wav	871	Mientras que los chimpancés son dominados por tipos grandes, aterradores, la sociedad bonobo está a cargo de hembras con poder.	while chimpanzees are dominated by big, scary guys, bonobo society is run by empowered females.
test_ted_1102_11	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_11.wav	984	Estos muchachos han creado algo especial, ya que esto conduce a una sociedad muy tolerante donde la violencia mortal todavía no se ha observado.	these guys have really worked something out, since this leads to a highly tolerant society where fatal violence has not been observed yet.
test_ted_1102_12	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_12.wav	436	Pero, por desgracia, los bonobos son los menos comprendidos de los grandes simios.	but unfortunately, bonobos are the least understood of the great apes.
test_ted_1102_13	/mnt/zhangyh/DATA/mustc-enes/test-split/test_ted_1102_13.wav	608	Viven en las profundidades de la selva congoleña, y ha sido muy difícil estudiarlos.	they live in the depths of the congolese jungle, and it has been very difficult to study them.
