id	audio	n_frames	tgt_text	src_text
test_ted_1096_0	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_0.wav	204	A New York, je suis responsable du développment pour un organisme à but non lucratif appelé Robin Hood.	back in new york, i am the head of development for a non-profit called robin hood.
test_ted_1096_1	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_1.wav	257	Quand je ne suis pas en train de combattre la pauvreté, je combat des incendies en tant qu'assistant capitaine d'une compagnie de pompiers volontaires.	when i'm not fighting poverty, i'm fighting fires as the assistant captain of a volunteer fire company.
test_ted_1096_2	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_2.wav	405	Et dans notre ville, où les volontaires viennent renforcer une équipe professionnelle hautement qualifiée, il faut arriver sur le lieu de l'incendie très tôt pour prendre part à l'action.	now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.
test_ted_1096_3	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_3.wav	78	Je me souviens de mon premier incendie.	i remember my first fire.
test_ted_1096_4	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_4.wav	208	J'étais le deuxième volontaire sur les lieux, et donc j'avais de bonnes chances d'y aller.	i was the second volunteer on the scene, so there was a pretty good chance i was going to get in.
test_ted_1096_5	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_5.wav	279	Mais pourtant c'était une vrai course à pied contre les autres volontaires pour arriver jusqu'au capitaine responsable pour découvrir ce que seraient nos missions.	but still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.
test_ted_1096_6	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_6.wav	430	Quand j'ai trouvé le capitaine, il était en pleine conversation avec la propriétaire, qui était surement en train de vivre la pire journée de sa vie.	when i found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.
test_ted_1096_7	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_7.wav	480	C'était en pleine nuit, elle était là dehors sous la pluie battante, sous un parapluie, en pyjama, pieds nus, pendant que sa maison était en flammes.	here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.
test_ted_1096_8	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_8.wav	917	L'autre volontaire qui était arrivé juste avant moi — appelons-le Lex Luther — (Rires) est arrivé le premier auprès du capitaine et on lui a demandé d'aller à l'intérieur et de sauver le chien de la propriétaire. Le chien ! J'étais abasourdi de jalousie.	the other volunteer who had arrived just before me — let's call him lex luther — (laughter) got to the captain first and was asked to go inside and save the homeowner's dog. the dog! i was stunned with jealousy.
test_ted_1096_9	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_9.wav	519	C'était un avocat ou un brasseur d'argent qui, pour le reste de sa vie, pourrait dire aux gens qu'il était entré dans un bâtiment en feu pour sauver une créature vivante, juste parce qu'il m'avait battu de 5 secondes.	here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.
test_ted_1096_10	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_10.wav	102	Bon, j'étais le suivant.	well, i was next.
test_ted_1096_11	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_11.wav	70	Le capitaine m'a fait signe de venir.	the captain waved me over.
test_ted_1096_12	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_12.wav	605	Il a dit, "Bezos, je veux que tu entres dans la maison, je veux que tu ailles au premier, que tu traverse le feu, et je veux que tu ailles chercher une paire de chaussures pour cettte femme." (Rires) Je le jure.	he said, "bezos, i need you to go into the house. i need you to go upstairs, past the fire, and i need you to get this woman a pair of shoes." (laughter) i swear.
test_ted_1096_13	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_13.wav	700	Alors, pas exactement ce que j'espérais, mais j'y suis allé — au premier, au bout du couloir, je suis passé devant les vrais pompiers, qui avait quasiment éteint le feu à ce stade, je suis entré dans la chambre pour prendre une paire de chaussures.	so, not exactly what i was hoping for, but off i went — up the stairs, down the hall, past the 'real' firefighters, who were pretty much done putting out the fire at this point, into the master bedroom to get a pair of shoes.
test_ted_1096_14	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_14.wav	821	Et je sais ce que vous pensez, mais je ne suis pas un héros. (Rires) J'ai rapporté ma charge au rez-de-chaussée où j'ai rencontré mon ennemi et le précieux chien près de la porte d'entrée.	now i know what you're thinking, but i'm no hero. (laughter) i carried my payload back downstairs where i met my nemesis and the precious dog by the front door.
test_ted_1096_15	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_15.wav	371	Nous avons emmené nos trésors hors de la maison et jusqu'à la propriétaire, où, sans surprise, le sien a reçu beaucoup plus d'attention que le mien.	we took our treasures outside to the homeowner, where, not surprisingly, his received much more attention than did mine.
test_ted_1096_16	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_16.wav	302	Quelques semaines plus tard, le département a reçu une lettre de la propriétaire nous remerciant pour les vaillants efforts que nous avions fournis pour sauver sa maison.	a few weeks later, the department received a letter from the homeowner thanking us for the valiant effort displayed in saving her home.
test_ted_1096_17	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_17.wav	296	Le gentil geste qu'elle a remarqué parmi tous les autres : quelqu'un lui avait même amené une paire de chaussures	the act of kindness she noted above all others: someone had even gotten her a pair of shoes.
test_ted_1096_19	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_19.wav	665	Dans le cadre de ma vocation à Robin Hood comme dans le cadre de celle entant que pompier volontaire, je suis témoin d'actes de générosité et de gentillesse à une échelle momumentale, mais je suis aussi témoin d'actes de grâce et de courage sur le plan individuel.	in both my vocation at robin hood and my avocation as a volunteer firefighter, i am witness to acts of generosity and kindness on a monumental scale, but i'm also witness to acts of grace and courage on an individual basis.
test_ted_1096_20	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_20.wav	710	Et vous savez ce que j'ai appris ? Ils ont tous de l'importance. Alors quand je regarde dans cette salle les gens qui ont soit atteint, ou sont en passe d'obtenir, des niveaux remarquables de réussite, je voudrais vous offrir ce rappel : n'attendez pas.	and you know what i've learned? they all matter. so as i look around this room at people who either have achieved, or are on their way to achieving, remarkable levels of success, i would offer this reminder: don't wait.
test_ted_1096_21	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_21.wav	152	N'attendez pas d'avoir gagné votre premier million pour faire la différence dans la vie de quelqu'un.	don't wait until you make your first million to make a difference in somebody's life.
test_ted_1096_22	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_22.wav	140	Si vous avez quelque chose à donner, donnez-le maintenant.	if you have something to give, give it now.
test_ted_1096_23	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_23.wav	215	Servez de la nourriture dans une soupe populaire, nettoyez un parc dans votre quartier, soyez un mentor.	serve food at a soup kitchen. clean up a neighborhood park. be a mentor.
test_ted_1096_24	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_24.wav	352	Ce n'est pas tous les jours qu'on se voit offerte une chance de sauver la vie de quelqu'un, mais on a tous les jours une possibilité d'en affecter une.	not every day is going to offer us a chance to save somebody's life, but every day offers us an opportunity to affect one.
test_ted_1096_25	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_25.wav	121	Alors entrez dans le jeu, sauvez les chaussures.	so get in the game. save the shoes.
test_ted_1096_26	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_26.wav	436	Merci.	thank you.
test_ted_1096_28	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1096_28.wav	269	Bruno Giussani : Mark, Mark, revenez.	bruno giussani: mark, mark, come back.
test_ted_1102_0	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1102_0.wav	206	Je viens de revenir d'une communauté qui détient le secret de la survie de l'humanité.	i just came back from a community that holds the secret to human survival.
test_ted_1102_1	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1102_1.wav	472	C'est un endroit où les femmes ont le pouvoir, ont des rapports sexuels pour dire bonjour, et où le jeu dicte le cours d'une journée — où s'amuser est une activité sérieuse.	it's a place where women run the show, have sex to say hello, and play rules the day — where fun is serious business.
test_ted_1102_2	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1102_2.wav	422	Et non, ce n'est pas le festival Burning Man ou San Francisco. (Rires) Mesdames et messieurs, je vous présente vos cousins.	and no, this isn't burning man or san francisco. (laughter) ladies and gentlemen, meet your cousins.
test_ted_1102_3	/mnt/zhangyh/DATA/mustc-enfr/tst-COMMON-split/wav-split/test_ted_1102_3.wav	185	Voici le monde des bonobos sauvages dans les jungles du Congo.	this is the world of wild bonobos in the jungles of congo.
